ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
10,141,853.325,98.801,86.171,5000,10000,5714.806,30000,11405000,57281.903,26056,182444.598,7002.018,1.055
11,141,1327.257,101.017,275.625,5000,50000,10473.677,5000,85000,25624.656,45474,1149147.077,25270.419,7.315
9,142,331.644,96.759,11.183,5000,10000,5648.933,95000,34245000,464219.298,3421,2669.5,780.327,0.013
11,142,1291.072,100.835,256.122,5000,10000,5097.379,5000,60000,13809.027,86825,978019.697,11264.263,6.225
9,143,300.359,96.649,3.946,5000,5000,5000.0,90000,38820000,1170770.359,1364,543.105,398.171,0.002
10,143,785.807,98.514,77.013,5000,5000,5000.0,15000,13220000,56617.884,26616,144913.93,5444.617,0.838
12,143,1710.776,103.094,397.951,5000,10000,7902.502,5000,15000,10962.513,87018,2783145.242,31983.557,19.327
11,144,1219.962,100.483,207.103,5000,55000,33399.44,5000,200000,119814.261,10715,694819.22,64845.47,4.423
11,145,1185.021,100.313,206.782,5000,10000,5253.392,5000,75000,18881.733,68017,693913.622,10202.061,4.417
12,145,1636.289,102.67,388.226,5000,10000,5983.899,5000,20000,8658.894,112110,2504915.137,22343.369,17.395
11,146,1150.479,100.147,182.667,5000,10000,5028.596,10000,65000,21122.988,62771,581291.855,9260.516,3.7
10,147,655.383,97.98,51.927,5000,30000,18219.289,170000,19910000,311104.792,4925,63419.385,12877.032,0.367
11,147,1116.329,99.985,158.266,5000,20000,5369.294,5000,100000,26858.876,50935,484860.115,9519.193,3.086
13,147,1998.395,104.836,423.666,0,15000,5014.177,5000,22195000,6229.281,146005,4640435.532,31782.716,34.91
11,148,1082.564,99.827,158.197,0,5000,4999.908,5000,115000,25024.966,54674,484670.962,8864.743,3.085
13,148,1960.652,104.598,413.735,5000,15000,10002.308,10000,15000,12964.561,71477,4252840.961,59499.432,31.994
10,149,592.365,97.73,44.126,5000,5000,5000.0,10000,21945000,101152.862,15250,45486.526,2982.723,0.263
11,149,1049.178,99.672,136.66,5000,10000,5806.634,10000,850000,34558.375,40669,403474.675,9920.939,2.568
12,149,1492.333,101.879,340.06,5000,10000,5107.917,5000,40000,9161.69,115042,1761393.354,15310.872,12.231
13,149,1923.332,104.366,410.512,5000,45000,33440.107,35000,50000,43947.765,21213,3956679.102,186521.43,29.766
11,150,1016.162,99.521,121.056,5000,45000,28495.436,80000,3535000,195135.558,7341,334558.989,45574.034,2.129
